[x1 1 1 1 1 1 1],102,20,128,210,10
[1 x1 x1 x1 x1 x1 x1],76,17,25,84,9
[1 x1 1 1 1 1 1],204,40,760,924,12
[x1 1 x1 x1 x1 x1 x1],178,37,321,462,11
[1 1 x1 1 1 1 1],102,20,128,210,10
[x1 x1 1 x1 x1 x1 x1],102,20,128,210,10
[1 1 1 x1 1 1 1],102,20,128,210,10
[x1 x1 x1 1 x1 x1 x1],102,20,128,210,10
[1 1 1 1 x1 1 1],124,32,370,462,11
[x1 x1 x1 x1 1 x1 x1],228,148,172,252,10
[1 1 1 1 1 x1 1],105,42,63,126,9
[x1 x1 x1 x1 x1 1 x1],124,32,370,462,11
[1 1 1 1 1 1 x1],96,36,66,126,9
[x1 x1 x1 x1 x1 x1 1],87,15,180,252,10
[x2 1 1 1 1 1 1],102,20,128,210,10
[1 x2 x2 x2 x2 x2 x2],80,23,27,84,9
[1 x2 1 1 1 1 1],204,40,760,924,12
[x2 1 x2 x2 x2 x2 x2],125,22,107,210,10
[1 1 x2 1 1 1 1],102,20,128,210,10
[x2 x2 1 x2 x2 x2 x2],69,11,26,84,9
[1 1 1 x2 1 1 1],102,20,128,210,10
[x2 x2 x2 1 x2 x2 x2],69,11,26,84,9
[1 1 1 1 x2 1 1],114,36,174,252,10
[x2 x2 x2 x2 1 x2 x2],105,25,172,252,10
[1 1 1 1 1 x2 1],160,82,174,252,10
[x2 x2 x2 x2 x2 1 x2],228,148,172,252,10
[1 1 1 1 1 1 x2],55,16,17,56,8
[x2 x2 x2 x2 x2 x2 1],87,15,180,252,10
[x3 1 1 1 1 1 1],102,20,128,210,10
[1 x3 x3 x3 x3 x3 x3],76,17,25,84,9
[1 x3 1 1 1 1 1],204,40,760,924,12
[x3 1 x3 x3 x3 x3 x3],178,37,321,462,11
[1 1 x3 1 1 1 1],102,20,128,210,10
[x3 x3 1 x3 x3 x3 x3],102,20,128,210,10
[1 1 1 x3 1 1 1],102,20,128,210,10
[x3 x3 x3 1 x3 x3 x3],102,20,128,210,10
[1 1 1 1 x3 1 1],83,20,63,126,9
[x3 x3 x3 x3 1 x3 x3],124,32,370,462,11
[1 1 1 1 1 x3 1],124,32,370,462,11
[x3 x3 x3 x3 x3 1 x3],228,148,172,252,10
[1 1 1 1 1 1 x3],96,36,66,126,9
[x3 x3 x3 x3 x3 x3 1],87,15,180,252,10
[x4 1 1 1 1 1 1],73,19,30,84,9
[1 x4 x4 x4 x4 x4 x4],102,20,128,210,10
[1 x4 1 1 1 1 1],175,39,326,462,11
[x4 1 x4 x4 x4 x4 x4],181,44,325,462,11
[1 1 x4 1 1 1 1],102,20,128,210,10
[x4 x4 1 x4 x4 x4 x4],79,24,29,84,9
[1 1 1 x4 1 1 1],102,20,128,210,10
[x4 x4 x4 1 x4 x4 x4],79,24,29,84,9
[1 1 1 1 x4 1 1],77,17,66,126,9
[x4 x4 x4 x4 1 x4 x4],124,32,370,462,11
[1 1 1 1 1 x4 1],111,51,66,126,9
[x4 x4 x4 x4 x4 1 x4],124,32,370,462,11
[1 1 1 1 1 1 x4],87,15,180,252,10
[x4 x4 x4 x4 x4 x4 1],96,36,66,126,9
[x5 1 1 1 1 1 1],102,20,128,210,10
[1 x5 x5 x5 x5 x5 x5],102,20,128,210,10
[1 x5 1 1 1 1 1],204,40,760,924,12
[x5 1 x5 x5 x5 x5 x5],190,51,323,462,11
[1 1 x5 1 1 1 1],102,20,128,210,10
[x5 x5 1 x5 x5 x5 x5],80,23,27,84,9
[1 1 1 x5 1 1 1],102,20,128,210,10
[x5 x5 x5 1 x5 x5 x5],80,23,27,84,9
[1 1 1 1 x5 1 1],108,31,175,252,10
[x5 x5 x5 x5 1 x5 x5],105,25,172,252,10
[1 1 1 1 1 x5 1],216,139,175,252,10
[x5 x5 x5 x5 x5 1 x5],228,148,172,252,10
[1 1 1 1 1 1 x5],99,42,69,126,9
[x5 x5 x5 x5 x5 x5 1],96,36,66,126,9
[1 1 1 1 1 1 1],51,10,15,56,8
